feature_id,feature_class,scope,window_id,window_order,d_star,adf_rejects,operator_status,bootstrap_p_value_bucket,used_for_operator_selection
F015,LEVEL,SEGMENT,SEGMENT_W003,3,0.17,TRUE,STATIONARY,p<0.01,FALSE
F015,LEVEL,SEGMENT,SEGMENT_W004,4,0.25,TRUE,STATIONARY,p<0.01,FALSE
F016,LEVEL,SEGMENT,SEGMENT_W003,3,0.38,TRUE,STATIONARY,p>=0.10,FALSE
F016,LEVEL,SEGMENT,SEGMENT_W004,4,0.34,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,SEGMENT,SEGMENT_W003,3,0.38,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,SEGMENT,SEGMENT_W004,4,0.01,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,SEGMENT,SEGMENT_W003,3,0.66,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,SEGMENT,SEGMENT_W004,4,0.77,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,SEGMENT,SEGMENT_W003,3,0.32,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,SEGMENT,SEGMENT_W004,4,0,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,SEGMENT,SEGMENT_W003,3,0.12,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,SEGMENT,SEGMENT_W004,4,0.3,TRUE,STATIONARY,p>=0.10,FALSE
F021,LEVEL,SEGMENT,SEGMENT_W003,3,0.16,TRUE,STATIONARY,p<0.01,FALSE
F021,LEVEL,SEGMENT,SEGMENT_W004,4,0.45,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,SEGMENT,SEGMENT_W003,3,0.03,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,SEGMENT,SEGMENT_W004,4,0.36,TRUE,STATIONARY,p<0.01,FALSE
